sector,layer,median_price,transaction_count,ew_percentile,neighbour_count,neighbourhood_median,pct_above_neighbourhood,low_transaction_count,min_sales_threshold,priced_neighbour_count,low_count_neighbour_count,has_geometry,analysis_status
CH60 6,2,611000.0,62,92.10366224601532,18,307500.0,0.9869918699186992,False,20,18,1,True,ok
W11 3,2,1822500.0,193,99.46465506752646,22,920000.0,0.9809782608695652,False,20,22,0,True,ok
SW1P 3,2,2113550.0,122,99.59849130064484,17,1068125.0,0.9787478057343476,False,20,16,7,True,ok
L3 0,2,235500.0,124,33.586811047572695,16,119125.0,0.9769150052465898,False,20,16,8,True,ok
WA15 0,2,883750.0,178,97.43277771018371,22,447500.0,0.9748603351955308,False,20,22,0,True,ok
L26 6,2,365995.0,187,66.37060469643508,20,185500.0,0.9730188679245284,False,20,20,4,True,ok
MK5 8,2,615000.0,82,92.18883075799975,31,313500.0,0.9617224880382776,False,20,31,1,True,ok
B94 5,2,663750.0,118,93.86786713712132,36,340000.0,0.9522058823529412,False,20,36,0,True,ok
L24 5,2,310500.0,25,54.36792797177272,18,159525.0,0.9464033850493654,False,20,18,1,True,ok
BH14 8,2,622500.0,548,92.40175203796085,12,320000.0,0.9453125,False,20,12,0,True,ok
BN3 6,2,816000.0,499,96.81226426572576,17,420000.0,0.9428571428571428,False,20,17,1,True,ok
L34 3,2,280995.0,161,46.91568317313542,15,145000.0,0.937896551724138,False,20,15,3,True,ok
SK10 4,2,793500.0,332,96.59325952062294,30,410497.5,0.933020298540186,False,20,30,0,True,ok
CV47 7,2,704500.0,33,94.9142231415014,17,365000.0,0.9301369863013698,False,20,17,0,True,ok
WC1X 0,2,1267750.0,192,98.79547390193454,17,660000.0,0.9208333333333334,False,20,17,2,True,ok
WA3 4,2,420000.0,197,75.5627205256114,20,218737.5,0.9201097205554604,False,20,20,0,True,ok
CF71 7,2,466500.0,440,81.7252707141988,38,243000.0,0.9197530864197532,False,20,38,0,True,ok
CH63 6,2,500000.0,11,85.14417812385935,33,261305.0,0.913472761715237,True,20,33,2,True,ok
W1K 7,2,4850000.0,22,99.91483148801558,23,2537500.0,0.911330049261084,False,20,23,7,True,ok
SM2 7,2,968750.0,180,97.94378878209028,18,509375.0,0.901840490797546,False,20,18,0,True,ok
L1 9,2,277500.0,14,45.63815549336902,16,145975.0,0.9010104469943484,True,20,15,5,True,ok
NG15 9,2,380000.0,239,69.34541915074827,21,200000.0,0.8999999999999999,False,20,21,0,True,ok
WC1N 2,2,1350000.0,33,98.94756053047816,23,711250.0,0.898066783831283,False,20,22,6,True,ok
PE8 5,2,565000.0,137,89.68244311960093,28,298750.0,0.891213389121339,False,20,28,0,True,ok
SS1 3,2,600000.0,392,91.5439834529748,10,317500.0,0.889763779527559,False,20,10,0,True,ok
SW7 2,2,3025000.0,58,99.82966297603116,34,1605000.0,0.8847352024922119,False,20,34,1,True,ok
